Classe,Précision,Rappel,F1-Score,Support
flat,0.9254289893237003,0.9800941520443305,0.9519774605490088,9535640
human,0.5934304429440926,0.40911984120519945,0.48433315001178495,331497
vehicle,0.8527376959719233,0.8574447444090897,0.8550847424298692,1775024
construction,0.8036830227685009,0.9113147425396955,0.8541214476115448,5139569
object,0.5336690408141662,0.06869160697601993,0.1217163974484772,513760
nature,0.8758875112270353,0.9001172633846339,0.887837105968191,3973960
sky,0.8648370736794944,0.95888466179231,0.9094358955875197,736781
void,0.9438908574698477,0.6679793326495269,0.7823205478103717,3081769
Accuracy,0.8794867665816326,,,25088000
Macro avg,0.7991955792748451,0.7192057931251008,0.730853343427096,25088000
Weighted avg,0.8755764179465305,0.8794867665816326,0.869644047163729,25088000
